,name,price,rating,zip code,latitude,longitude,review count,competitors,subway_around,target1,target1_norm,target2,target2_norm,target3,target3_norm
0,Dim Sum Palace,$$,4.0,10036.0,40.76015,-73.9893699,493,45,10,918.6744444444445,0.12444579693317208,4930,0.10707290533188248,4.0,0.75
1,Wah Fung No 1,$,4.5,10002.0,40.71735,-73.99457,819,227,4,684.5,0.10056164752412969,8190,0.17801958650707292,4.5,0.875
2,Tasty Garden,$,5.0,10009.0,40.72485,-73.98306,16,39,0,-102.7725,0.020265379243278855,160,0.003264417845484222,5.0,1.0
3,Peng's Noodle Folk,$$,4.5,10028.0,40.77726,-73.94932,174,26,4,98.0,0.04074276480344655,1740,0.03764961915125136,4.5,0.875
4,Zest Szechuan,$$,4.0,10018.0,40.75274,-73.98445,240,50,16,407.70565217391305,0.07233056716546528,2400,0.05201305767138194,4.0,0.75
5,Tuome,$$$,4.5,10009.0,40.724124827240004,-73.9828906263924,290,39,0,751.2275,0.10736738409146879,2900,0.06289445048966268,4.5,0.875
6,Shu Jiao Fu Zhou Cuisine Restaurant,$,4.5,10002.0,40.7184290357839,-73.9916928979573,387,227,9,252.5,0.05650068020045516,3870,0.08400435255712731,4.5,0.875
7,China Jade,$$,4.5,10028.0,40.77747,-73.95239000000001,19,28,4,-212.0,0.009124941029513434,190,0.003917301414581066,4.5,0.875
8,China Xiang,$$,4.0,10036.0,40.758290212563296,-73.99251139938991,235,38,8,402.6744444444444,0.0718174192965608,2350,0.05092491838955386,4.0,0.75
9,Han Dynasty,$$,4.0,10024.0,40.78752,-73.97646999999999,339,19,5,541.52,0.08597869125575242,3390,0.0735582154515778,4.0,0.75
10,Han Dynasty,$$,4.0,10003.0,40.732071999999995,-73.988074,904,54,9,1621.4971428571428,0.19612877829682637,9040,0.19651795429815017,4.0,0.75
11,Xi'an Famous Foods,$,4.0,10075.0,40.77197,-73.95452,344,21,0,208.79,0.05204256704833058,3440,0.07464635473340588,4.0,0.75
12,Café China,$$,4.0,10016.0,40.7499225208569,-73.98194641271971,867,55,0,1674.0775,0.20149160560686938,8670,0.18846572361262243,4.0,0.75
13,Xi'an Famous Foods,$,4.0,10036.0,40.75574,-73.98085,1169,37,14,1101.6744444444444,0.14311051225778418,11690,0.2541893362350381,4.0,0.75
14,Szechuan Garden,$$,4.0,10025.0,40.8003719688892,-73.96764913086021,159,23,5,172.99666666666667,0.048391898320540326,1590,0.03438520130576714,4.0,0.75
15,Jasmine Restaurant,$$,4.0,10017.0,40.754670000000004,-73.97057,104,38,9,132.85,0.044297220153516136,1040,0.022415669205658323,4.0,0.75
16,Tri Dim Shanghai,$$,4.0,10075.0,40.77395,-73.95793,86,18,8,36.78999999999999,0.0344997745027935,860,0.018498367791077257,4.0,0.75
17,Auntie Guan's Kitchen 108,$$,4.0,10011.0,40.737721347759795,-73.99741485125179,234,26,20,323.13,0.06370444437191611,2340,0.050707290533188246,4.0,0.75
18,Excellent Dumpling House,$$,4.0,10011.0,40.744049439635795,-73.995028194335,222,25,17,299.13,0.06125661285393419,2220,0.04809575625680087,4.0,0.75
19,Xi'an Famous Foods,$,4.0,10016.0,40.747844,-73.983901,440,56,9,380.0775,0.06951268959567758,4400,0.09553862894450489,4.0,0.75
20,La Salle Dumpling Room,$$,4.0,10023.0,40.7731596,-73.98951,36,7,0,69.5,0.03783596487584302,360,0.007616974972796518,4.0,0.75
21,Chaan Teng,$$,4.0,10036.0,40.7622036680455,-73.98986823856829,108,40,7,148.67444444444442,0.045911202397918835,1080,0.023286180631120784,4.0,0.75
22,Burp Bowl Cafe,$,4.5,10010.0,40.74183,-73.98271,104,52,7,34.412499999999994,0.03425728619304342,1040,0.022415669205658323,4.5,0.875
23,Shanghai,$,4.0,10021.0,40.768291,-73.958381,57,18,4,-89.58166666666662,0.021610751642519684,570,0.012187159956474429,4.0,0.75
